file,result,confidence,latency_ms
moldy_bread (13).jpg,DEFECTIVE,97.5%,4.5
moldy_bread (14).jpg,DEFECTIVE,98.9%,4.5
moldy_bread (15).jpg,DEFECTIVE,99.7%,4.4
moldy_bread (16).jpg,DEFECTIVE,98.9%,4.5
moldy_bread (17).jpg,DEFECTIVE,91.9%,4.4
moldy_bread (18).jpg,DEFECTIVE,97.3%,4.3
moldy_bread (19).jpg,DEFECTIVE,98.2%,4.5
moldy_bread (2).jpeg,DEFECTIVE,97.2%,4.6
moldy_bread (2).jpg,DEFECTIVE,95.3%,4.7
moldy_bread (2).png,DEFECTIVE,99.5%,4.6
moldy_bread (20).jpg,DEFECTIVE,99.8%,4.4
moldy_bread (21).jpg,DEFECTIVE,100.0%,4.5
moldy_bread (22).jpg,DEFECTIVE,96.5%,4.5
moldy_bread (23).jpg,DEFECTIVE,98.4%,4.7
moldy_bread (24).jpg,DEFECTIVE,100.0%,4.5
moldy_bread (25).jpg,DEFECTIVE,99.4%,4.5
moldy_bread (26).jpg,DEFECTIVE,99.6%,4.6
moldy_bread (27).jpg,DEFECTIVE,99.8%,4.7
moldy_bread (28).jpg,DEFECTIVE,99.7%,5.1
moldy_bread (29).jpg,DEFECTIVE,99.8%,4.4
moldy_bread (3) .jpeg,DEFECTIVE,99.6%,4.9
moldy_bread (3).jpg,DEFECTIVE,99.9%,4.7
moldy_bread (3).png,DEFECTIVE,99.0%,4.7
moldy_bread (30).jpg,DEFECTIVE,97.5%,5.0
moldy_bread (31).jpg,DEFECTIVE,99.1%,5.2
moldy_bread (32).jpg,DEFECTIVE,99.7%,4.5
moldy_bread (33).jpg,DEFECTIVE,99.6%,4.9
moldy_bread (34).jpg,DEFECTIVE,100.0%,4.6
moldy_bread (35).jpg,DEFECTIVE,99.9%,4.5
moldy_bread (36).jpg,DEFECTIVE,99.8%,4.9
moldy_bread (37).jpg,DEFECTIVE,99.7%,4.6
moldy_bread (38).jpg,DEFECTIVE,99.8%,4.3
moldy_bread (39).jpg,DEFECTIVE,99.5%,4.5
moldy_bread (4).jpeg,DEFECTIVE,99.3%,4.4
moldy_bread (4).jpg,DEFECTIVE,99.9%,5.2
moldy_bread (4).png,DEFECTIVE,100.0%,4.6
moldy_bread (40).jpg,DEFECTIVE,99.8%,4.6
moldy_bread (41).jpg,DEFECTIVE,99.8%,4.4
moldy_bread (42).jpg,DEFECTIVE,99.8%,4.5
moldy_bread (43).jpg,DEFECTIVE,100.0%,4.3
moldy_bread (44).jpg,DEFECTIVE,100.0%,4.5
moldy_bread (45).jpg,DEFECTIVE,99.0%,4.5
moldy_bread (46).jpg,DEFECTIVE,99.9%,4.9
moldy_bread (47).jpg,DEFECTIVE,99.9%,5.3
moldy_bread (48).jpg,DEFECTIVE,99.7%,4.6
moldy_bread (49).jpg,DEFECTIVE,100.0%,4.7
moldy_bread (5).jpeg,DEFECTIVE,100.0%,4.6
moldy_bread (5).jpg,DEFECTIVE,100.0%,4.8
moldy_bread (5).png,DEFECTIVE,99.9%,4.6
moldy_bread (50).jpg,DEFECTIVE,99.9%,4.5
moldy_bread (51).jpg,DEFECTIVE,99.5%,4.5
moldy_bread (6).jpeg,DEFECTIVE,100.0%,4.5
moldy_bread (6).jpg,DEFECTIVE,99.8%,4.5
moldy_bread (7).jpeg,DEFECTIVE,99.7%,4.5
moldy_bread (8).jpg,DEFECTIVE,99.6%,4.7
moldy_bread (9).jpg,DEFECTIVE,98.5%,4.5
moldy_bread.jpeg,DEFECTIVE,99.5%,4.7
WhatsApp Image 2026-05-05 at 1.23.14 PM.jpeg,DEFECTIVE,99.9%,4.2
